"","ResortName","Continent","Country","Altitude","Easy","Intermediate","Difficult","Adult","Child","Youth","Currency","Ski_resort_size","Variety","Liftsandcable.cars","Snowreliability","Slopepreparation","Environmental","Friendliness","Access_Park","Food","Accommodations","Families","Beginners","AdvancedSkiers","Snowparks","Cross_skiing"
"1710","hirtenteich-essingen-lauterburgaalen","Europe","Germany",690,2.5,1.5,0,23.3480114498648,14.0088068699189,18.6784091598919,"Euro",1,2,1,1,3,3,3,4,2,1,3,3,2,2,3
"1733","hochkoenig-maria-almdientenmuehlbach","Europe","Austria",1900,52,41,19,60.1211294834019,30.3524148848243,45.5286223272364,"Euro",4,5,5,4,5,4,4,4,5,4,5,4,4,5,3
"1734","hochkoessen-unterberghorn-koessen","Europe","Austria",1690,10,9,3,46.6960228997296,23.3480114498648,32.6872160298107,"Euro",2,3,3,3,4,3,4,4,3,2,4,4,3,1,5
"1739","hochoetz-oetz","Europe","Austria",2272,12,21,3,45.5286223272364,22.7643111636182,33.854616602304,"Euro",3,4,4,4,4,4,4,5,4,3,5,3,3,3,2
"1746","hochstein-lienz","Europe","Austria",1988,0.5,11.3,4.2,54.2841266209357,27.4339134535912,27.4339134535912,"Euro",2,3,3,3,4,4,4,3,3,2,3,2,3,1,1
"1750","hochzeiger-jerzens","Europe","Austria",2450,10,22,8,51.3656251897026,31.5198154573175,51.3656251897026,"Euro",3,4,5,4,4,4,5,3,4,4,5,4,4,3,2
"1761","hoernerbahn-bolsterlang","Europe","Germany",1665,6.6,6.4,1.8,44.3612217547431,20.4295100186317,34.4383168885506,"Euro",2,3,4,4,4,4,3,5,3,2,4,4,3,3,3
"1762","hoernle-bad-kohlgrub","Europe","Germany",1400,6,3,0,23.3480114498648,16.3436080149054,0,"Euro",2,2,2,1,3,3,3,3,2,2,3,3,1,1,3
"1767","hohe-bracht-lennestadt","Europe","Germany",580,0.3,0.3,0,11.6740057249324,0,0,"Euro",1,1,1,1,3,3,4,4,3,1,2,1,2,1,3
"1770","hohe-wand-wiese-vienna-high-hills","Europe","Austria",370,0.1,0.4,0,0,0,0,"-",1,2,1,3,4,3,3,5,2,1,4,2,1,1,1
"1783","hohsaas-saas-grund","Europe","Switzerland",3142,12,21.3,1.2,54.5157186988915,33.3151614271004,44.4202152361338,"Swiss Franc",3,4,4,5,5,4,4,3,3,3,4,4,3,3,3
"1828","hovden","Europe","Norway",1183,19.1,13.2,2.1,52.6863934325798,41.0463762788703,0,"Norwegian krone",3,3,3,5,5,3,3,3,3,2,4,5,3,5,5
"1848","hunau-boedefeld","Europe","Germany",810,4,0,0,29.0682742550817,20.896470247629,0,"Euro",1,1,1,3,4,3,3,4,2,1,2,4,1,1,3
"1850","hundseck-buehlertallifte","Europe","Germany",1002,1.2,0,0,23.3480114498648,17.5110085873986,0,"Euro",1,1,2,3,4,3,4,4,2,1,2,3,1,1,3
"1869","ice-mountain","Europe","Belgium",90,0.3,0,0,47.8634234722229,39.6916194647702,43.1938211822499,"Euro",1,1,1,5,4,1,3,4,3,1,2,3,1,3,1
"1875","idre-fjaell","Europe","Sweden",890,17,22,2,45.7617018531369,0,36.8325892964272,"Swedish krona",3,3,4,5,5,3,4,3,4,4,4,5,3,4,4
"1877","ifen","Europe","Austria",2030,10.6,6.2,2.2,54.8678269071823,21.0132103048783,42.0264206097567,"Euro",2,4,4,3,4,4,4,3,3,1,3,4,4,1,1
"1894","im-salzwinkel-zainingen-roemerstein","Europe","Germany",830,0.8,0,0,21.0132103048783,17.5110085873986,0,"Euro",1,1,2,1,4,3,4,4,2,1,4,4,1,4,2
"1913","ischglsamnaun-silvretta-arena","Europe","Austria",2872,47,142,49,61.8722303421418,35.6057174610438,0,"Euro",5,5,5,5,5,4,4,4,5,5,4,4,5,5,4
"1919","isola-2000","Europe","France",2603,75,35,10,40.2753197510168,30.9361151710709,33.854616602304,"Euro",4,4,3,4,4,3,5,2,4,5,4,4,4,3,1
"1939","jachymov-stred","Europe","Czech Republic",890,1.3,0.9,0.7,13.4771494930346,8.98476632868971,0,"Czech koruna",1,3,1,2,4,3,4,4,2,1,2,2,2,1,1
"1949","jakobshorn-davos-klosters","Europe","Switzerland",2590,25.5,13.2,2.5,66.6303228542007,26.24830900317,46.4393159286854,"Swiss Franc",3,4,4,5,5,4,3,2,4,4,4,4,5,5,4
"1960","jasna-nizke-tatry-chopok","Europe","Slovakia",2004,19.2,17.9,7.4,50.1982246172094,35.0220171747972,39.6916194647702,"Euro",3,4,4,4,5,3,4,4,5,4,5,4,5,3,2
"1977","jenner-koenigssee-schoenau-am-koenigssee","Europe","Germany",1800,3.6,7.4,0,36.8898580907864,19.6123296178864,30.0021947130763,"Euro",2,3,3,3,4,4,3,3,4,2,3,3,3,1,3
"2004","johanngeorgenstadt-kuelliggut","Europe","Germany",880,1.2,0.8,0,16.3436080149054,9.33920457994593,0,"Euro",1,2,1,2,3,3,4,3,2,1,2,3,1,1,3
"2017","jungholz","Europe","Austria",1500,7,3,0,35.6057174610438,11.6740057249324,23.3480114498648,"Euro",2,2,3,3,5,3,4,4,3,3,5,5,2,3,2
"2046","kaltenbach-hochzillertalhochfuegen-ski-optimal","Europe","Austria",2378,28.7,41.3,13,61.2885300558951,27.4339134535912,49.0308240447161,"Euro",4,5,5,5,5,4,4,5,5,5,5,5,5,4,3
"2047","kaltenbronn","Europe","Germany",958,0.6,0,0,23.3480114498648,0,0,"Euro",1,1,2,2,4,4,3,4,2,2,3,3,1,1,3
"2078","kapellenberg-st-englmar","Europe","Germany",880,0.3,0,0,16.3436080149054,0,0,"Euro",1,1,1,3,4,3,3,4,1,2,4,3,1,1,4
"2079","kappl","Europe","Austria",2690,10,25,5,47.2797231859763,29.7687145985776,0,"Euro",3,4,4,4,4,3,5,4,4,4,5,3,4,3,1
"2095","karwendel-bergbahn-zwoelferkopf-pertisau","Europe","Austria",1510,6,6,0,32.6872160298107,22.1806108773716,0,"Euro",2,2,2,3,3,4,3,4,2,3,4,4,2,2,5
"2100","kasprowy-wierch-zakopane","Europe","Poland",1987,3.5,11.5,0,34.7350344771936,26.4520647172475,0,"Polish zloty",2,4,3,4,4,5,4,2,3,1,1,1,4,1,1
"2105","katschberg","Europe","Austria",2220,10,50,10,53.1167260484425,26.8502131673445,44.3612217547431,"Euro",3,5,4,5,5,4,4,4,5,5,4,3,4,2,4
"2110","kaunertal-glacier-kaunertaler-gletscher","Europe","Austria",3108,13,5.1,2.7,51.3656251897026,32.6872160298107,46.6960228997296,"Euro",3,4,4,5,5,4,4,2,3,1,4,4,4,5,2
"2119","keilberg-klinovec","Europe","Czech Republic",1244,8.4,6.9,3.7,33.6928737325864,26.5050606696346,0,"Czech koruna",2,3,3,4,4,3,3,4,3,3,4,3,2,3,3
"2123","kelchsau","Europe","Austria",1605,6.8,4.1,0,30.3524148848243,15.1762074424121,0,"Euro",2,4,2,3,4,4,3,4,3,2,2,2,2,2,2
"2124","kellerjoch-schwaz","Europe","Austria",1887,5.5,2.4,2.1,35.0220171747972,21.0132103048783,25.6828125948513,"Euro",2,3,2,3,4,4,4,4,2,3,3,3,3,1,2
"2139","keystone","North America","USA",3651,25,65,45,159,92,0,"US Dollar",4,5,4,5,5,4,5,3,4,4,5,4,4,5,3
"2143","kicking-horse-golden","North America","Canada",2450,20,20,60,79.8434019451511,31.9145375092815,60.0632356700303,"Canadian Dollar",3,5,4,4,4,4,5,4,4,4,4,4,5,2,3
"2153","kimberley","North America","Canada",1982,15,35,30,60.8240112959965,24.3067812496196,45.6084987766728,"Canadian Dollar",3,4,3,4,5,4,5,3,3,4,4,5,4,4,3
"2159","kirburg","Europe","Germany",470,0.3,0,0,14.0088068699189,9.33920457994593,0,"Euro",1,1,1,1,3,2,4,3,3,1,2,2,1,1,1
"2161","kirchberglifte-kreuth","Europe","Germany",890,1,0,0,14.0088068699189,11.6740057249324,0,"Euro",1,1,1,1,3,3,4,3,3,2,4,3,1,1,3
"2162","kirchdorf","Europe","Austria",780,3,2,0,34.4383168885506,20.4295100186317,27.4339134535912,"Euro",2,2,3,3,3,3,4,3,2,2,4,3,1,1,5
"2186","kitzbuehelkirchberg-kitzski","Europe","Austria",2000,101,61,17,64.2070314871282,31.5198154573175,47.8634234722229,"Euro",5,5,5,5,5,4,4,4,5,5,5,5,5,5,5
"2187","kitzsteinhorn-kaprun","Europe","Austria",3029,13,25,3,59.5374291971553,29.185014312331,44.3612217547431,"Euro",3,4,5,5,5,5,4,3,4,2,3,4,5,5,3
"2193","klausberg-steinhaus-cadipietra","Europe","Italy",2510,14,14,4,50.781924903456,32.6872160298107,0,"Euro",3,4,4,5,5,4,4,3,4,4,5,4,4,5,3
"2194","klausenlift-mehlmeisel","Europe","Germany",815,0,0.7,0,21.0132103048783,15.1762074424121,0,"Euro",1,2,2,3,4,3,3,4,2,1,2,2,1,2,3
"2196","kleine-scheideggmaennlichen-grindelwaldwengen","Europe","Switzerland",2320,33,56,13,64.6112221616492,32.3056110808246,51.4870676600642,"Swiss Franc",4,5,4,4,5,4,4,4,4,4,5,4,5,1,3
"2240","kolbensattel-oberammergau","Europe","Germany",1276,7.4,0.6,0,33.854616602304,22.1806108773716,0,"Euro",2,2,2,3,4,4,5,4,3,2,4,5,1,3,4
"2292","kramsach","Europe","Austria",650,0.4,0,0,15.1762074424121,0,0,"Euro",1,1,1,3,4,3,3,5,2,2,3,4,1,1,2
"2297","kreischberg","Europe","Austria",2118,17,16,9,51.9493254759492,27.4339134535912,41.4427203235101,"Euro",3,4,4,4,5,4,4,3,4,3,5,4,4,4,3
"2305","kristberg-silbertal","Europe","Austria",1589,1.5,1.5,0,41.4427203235101,23.9317117361114,23.9317117361114,"Euro",2,2,2,3,5,4,4,4,3,3,4,3,2,1,4
"2310","kronplatz-plan-de-corones","Europe","Italy",2275,52,42,25,64.2070314871282,32.6872160298107,45.5286223272364,"Euro",4,5,5,5,5,4,4,4,5,4,5,4,4,4,5
"2326","kuehtai","Europe","Austria",2520,6,26.2,8.8,45.5286223272364,22.7643111636182,33.854616602304,"Euro",3,4,4,5,4,4,5,3,4,5,4,3,4,4,3
"2358","kvitfjell","Europe","Norway",1032,21.5,12.5,5,53.9116583961282,44.1095386877412,0,"Norwegian krone",3,4,3,5,5,4,3,4,4,4,4,4,4,4,5
"2394","la-plagne-paradiski","Europe","France",3167,139,59,27,60.7048297696485,49.0308240447161,0,"Euro",5,5,4,5,4,4,4,3,4,5,4,5,5,5,4
"2406","laaxflimsfalera","Europe","Switzerland",3018,88,81,19,78.74492700951,26.24830900317,52.49661800634,"Swiss Franc",5,5,4,5,4,4,5,3,5,4,5,4,5,5,3
"2412","lachtal","Europe","Austria",2222,7,16,2,47.8634234722229,25.0991123086047,38.5242188922769,"Euro",3,4,4,4,5,4,4,3,4,4,4,4,3,1,2
"2416","ladurns","Europe","Italy",2050,6.4,7.4,1.2,44.3612217547431,31.5198154573175,0,"Euro",2,3,5,4,5,4,3,4,4,3,4,3,3,1,3
"2431","lake-louise","North America","Canada",2637,35,62,42,79.1206651004832,29.6702494126812,60.1012744513286,"Canadian Dollar",4,5,4,5,5,4,5,4,4,1,4,5,5,5,3
"2439","landsberied","Europe","Germany",580,0.5,0,0,0,0,0,"-",1,1,1,1,1,2,3,4,1,1,3,3,1,1,1
"2460","latemar-obereggenpampeagopredazzo","Europe","Italy",2388,9,32,7,56.0352274796756,38.5242188922769,38.5242188922769,"Euro",3,4,5,5,5,4,4,3,5,4,5,4,4,5,4
"2461","laterns-gapfohl","Europe","Austria",1785,8,15,4,42.0264206097567,21.596910591125,36.1894177472905,"Euro",2,3,4,4,4,4,4,4,4,2,4,2,3,3,1
"2465","lauchernalp-loetschental","Europe","Switzerland",3111,20,17,18,55.5252690451673,29.2769600419973,48.4584166212369,"Swiss Franc",3,4,4,5,5,4,4,3,4,3,4,3,5,2,3
"2490","le-grand-massif-flaineles-carrozmorillonsamoenssixt","Europe","France",2476,135,95,35,54.8678269071823,41.2092402090114,0,"Euro",5,5,4,4,5,3,3,4,3,5,4,5,5,4,4
"2515","le-tourchet","Europe","France",1069,0.6,0,0,18.6784091598919,0,0,"Euro",1,1,1,3,4,4,3,5,1,2,3,3,1,1,1
"2528","lermoos-grubigstein","Europe","Austria",2100,12.8,12.6,1.9,51.3656251897026,25.6828125948513,44.9449220409898,"Euro",3,4,5,4,5,4,4,4,4,4,4,4,4,2,4
"2529","les-2-alpes","Europe","France",3523,110,56,34,58.370028624662,46.6960228997296,0,"Euro",5,5,4,5,4,3,4,2,5,4,5,5,5,5,3
"2530","les-3-vallees-val-thorensles-menuiresmeribelcourchevel","Europe","France",3230,312,216,72,71.2114349220877,56.9691479376702,0,"Euro",5,5,4,5,4,4,4,4,5,5,5,5,5,5,4
"2533","les-arcspeisey-vallandry-paradiski","Europe","France",3226,104,70,26,60.7048297696485,49.0308240447161,0,"Euro",5,5,4,5,3,3,4,3,3,4,4,5,5,4,4
"2544","les-houchessaint-gervais-prarionbellevue-chamonix","Europe","France",1900,25,25,5,50.781924903456,43.1938211822499,0,"Euro",3,4,3,4,4,4,3,5,4,3,4,4,3,4,3
"2555","les-planards","Europe","France",1242,1.5,1,0,21.596910591125,19.2621094461385,0,"Euro",1,2,2,3,4,4,3,5,2,2,4,4,1,1,1
"2559","les-portes-du-soleil-morzineavoriazles-getschatelmorginschampery","Europe","Switzerland",2254,310,210,60,60.7048297696485,45.5286223272364,54.8678269071823,"Euro",5,5,4,4,5,3,3,4,4,5,4,4,5,5,4
"2565","les-sybelles-le-corbierla-toussuireles-bottieresst-colomban-des-villardsst-sorlinst-jean-darves","Europe","France",2620,53,239,18.5,51.5991053042012,44.0110015829952,0,"Euro",5,5,3,4,4,4,4,3,4,4,4,5,4,4,3
"2572","levi","Europe","Finland",531,15.7,19.4,2.8,50.781924903456,31.5198154573175,50.781924903456,"Euro",3,4,3,5,5,4,4,4,3,5,5,5,3,5,5
"2586","lindvallenhoegfjaellet-saelen","Europe","Sweden",887,22,17,3,44.6455627835482,35.7164502268385,0,"Swedish krona",3,3,3,5,4,3,4,3,5,4,5,5,2,4,4
"2591","lipno","Europe","Czech Republic",900,9.2,2.1,0.5,33.6928737325864,22.4619158217243,27.4035373025036,"Czech koruna",2,2,4,3,4,2,3,3,3,3,5,5,1,4,3
"2604","livigno","Europe","Italy",2798,30,65,20,50.1982246172094,39.6916194647702,39.6916194647702,"Euro",4,5,4,5,5,4,4,1,4,5,5,4,5,5,3
"2618","lofer-loferer-alm-almenwelt-lofer","Europe","Austria",1670,32,12,2,49.0308240447161,24.5154120223581,37.9405186060303,"Euro",3,4,4,4,4,4,4,3,4,3,5,4,3,3,3
"2643","loser-altaussee","Europe","Austria",1770,18,12,3,47.8634234722229,24.5154120223581,41.4427203235101,"Euro",3,4,4,4,4,4,4,3,4,4,4,5,4,2,3
"2650","loveland","North America","USA",3871,12,38,43,75,32,0,"US Dollar",3,4,3,5,3,2,4,5,2,1,3,4,4,4,1
"2699","madonna-di-campigliopinzolofolgaridamarilleva","Europe","Italy",2504,50,67,33,60.7048297696485,30.3524148848243,42.0264206097567,"Euro",5,5,4,5,5,4,5,3,5,5,5,4,4,5,3
"2701","madrisa-davos-klosters","Europe","Switzerland",2611,5.9,23.6,18,59.5634704302704,29.2769600419973,41.3915641973065,"Swiss Franc",3,4,3,4,5,4,3,3,3,2,5,3,4,3,3
"2712","maiskogel-kaprun","Europe","Austria",1733,14,5,1,45.5286223272364,23.3480114498648,32.6872160298107,"Euro",2,3,4,4,4,3,3,3,4,3,4,4,2,2,4
"2724","malbun","Europe","Liechtenstein",2000,11,9,3,48.4584166212369,29.2769600419973,37.3533628122035,"Swiss Franc",2,3,4,4,4,4,4,4,3,4,4,4,3,3,3
"2736","mammoth-mountain","North America","USA",3369,18.4,48.5,22.9,159,64,130,"US Dollar",4,5,4,5,4,4,5,4,4,5,4,5,5,5,3
"2757","markbuchenpredigtstuhl-st-englmar","Europe","Germany",1024,4,0,0,23.3480114498648,17.5110085873986,0,"Euro",1,2,1,3,3,3,4,4,2,2,3,3,1,3,4
"2761","marmot-basin-jasper","North America","Canada",2410,26,26,39,72.2736844667876,25.8663712828503,57.8189475734301,"Canadian Dollar",3,5,4,5,4,5,4,4,3,1,4,5,5,4,1
"2793","mayrhofen-penkenahornrastkogeleggalm","Europe","Austria",2500,40,63,33,60.7048297696485,27.4339134535912,48.4471237584695,"Euro",5,5,5,5,4,4,4,4,4,4,5,5,5,5,3
"2807","megevesaint-gervais","Europe","France",2353,98,134,31,54.2841266209357,43.7775214684965,0,"Euro",5,5,3,4,4,3,4,4,4,4,5,5,5,5,3
"2808","mehliskopf","Europe","Germany",1000,0.5,0.5,0.5,29.185014312331,18.6784091598919,25.6828125948513,"Euro",1,1,2,3,3,3,3,3,2,1,4,4,1,2,3
"2811","meiringen-hasliberg","Europe","Switzerland",2433,20,34,6,57.5443697377188,28.2674096957215,46.4393159286854,"Swiss Franc",3,4,4,4,4,4,4,4,4,3,5,4,4,3,3
"2823","meran-2000","Europe","Italy",2350,12,25,3,47.8634234722229,36.7731180335371,43.1938211822499,"Euro",3,3,4,4,5,4,4,4,4,3,4,3,3,4,2
"2875","mitterdorf-almberg-mitterfirmiansreut","Europe","Germany",1139,2.5,2.5,1,26.8502131673445,18.6784091598919,18.6784091598919,"Euro",2,3,2,4,5,4,3,3,3,3,5,4,2,2,4
"2881","moelltal-glacier-moelltaler-gletscher","Europe","Austria",3122,5.2,7.2,5,54.2841266209357,28.0176137398378,28.0176137398378,"Euro",3,4,4,5,5,3,4,3,3,2,3,4,4,3,3
"2917","mont-blanc","North America","Canada",556,7,12,16,39.5603325502416,19.7801662751208,31.1918006646136,"Canadian Dollar",3,4,3,4,4,3,3,5,3,3,4,4,3,3,1
"2951","mont-saint-sauveur","North America","Canada",629,10,20,8,45.6389298017114,30.4234172823877,38.0311735420496,"Canadian Dollar",3,3,4,5,5,4,4,5,3,2,4,4,2,5,1
"2960","mont-tremblant","North America","Canada",875,16.6,25.2,37.1,75.3167869706523,42.6034350541064,50.2111913137682,"Canadian Dollar",4,5,4,4,5,3,5,5,4,5,4,4,4,5,3
"2968","montana-snowcenter","Europe","Netherlands",45,0.2,0,0,39.1079191785236,36.7731180335371,0,"Euro",1,1,1,5,3,1,3,5,2,2,3,3,1,3,1
"2976","monte-kaolino-hirschau","Europe","Germany",530,0,0,0.2,40.8590200372634,32.6872160298107,0,"Euro",1,1,1,1,3,4,4,4,2,2,2,1,2,1,1
"2982","monte-popolo-eben-im-pongau","Europe","Austria",1612,4,2,0,42.0264206097567,21.0132103048783,32.6872160298107,"Euro",2,3,3,4,4,4,3,5,3,2,4,3,2,3,3
"3048","mount-seymour","North America","Canada",1265,9,9,5,44.8857619320049,19.7801662751208,34.2349031684783,"Canadian Dollar",2,3,3,3,4,4,4,3,2,1,3,4,2,5,1
"3100","mt-norquay-banff","North America","Canada",2133,5.1,4.1,7.2,56.2973963214977,22.0624931530194,42.6034350541064,"Canadian Dollar",2,3,3,4,4,4,4,4,3,1,4,4,4,4,1
"3141","muttereralm-muttersgoetzens","Europe","Austria",1800,7,8,1,40.2753197510168,24.5154120223581,31.5198154573175,"Euro",2,4,4,4,4,4,4,5,3,2,4,4,2,1,2
"3148","myrkdalen","Europe","Norway",1060,13,12.5,4.5,51.4611284690314,0,39.2084788335478,"Norwegian krone",3,3,3,5,5,4,4,4,3,4,4,5,3,4,4
"3165","naeba-mt-naeba","Asia","Japan",1789,6,8,6,51.4888512059471,0,38.8424666992233,"Japanese Yen",3,4,5,4,4,3,5,3,3,3,4,3,4,5,1
"3182","nakiska","North America","Canada",2260,4.2,14.7,6.1,64.6278894258274,25.828332501552,48.6516012805375,"Canadian Dollar",3,4,4,5,5,4,4,4,3,1,4,5,4,4,1
"3199","nassfeld-hermagor","Europe","Austria",2002,30,69,11,54.8678269071823,28.0176137398378,44.3612217547431,"Euro",4,5,4,4,5,3,3,3,4,5,5,3,4,4,4
"3202","nauders-am-reschenpass-bergkastel","Europe","Austria",2740,24,34,13,47.8634234722229,29.7687145985776,46.6960228997296,"Euro",3,4,4,4,4,4,4,4,4,2,5,4,4,3,4
"3208","nebelhorn-oberstdorf","Europe","Germany",2224,2.8,5.1,4,54.8678269071823,21.0132103048783,42.0264206097567,"Euro",2,4,2,4,5,4,3,3,3,3,3,3,4,1,5
"3216","nesselwang-alpspitze-alpspitzbahn","Europe","Germany",1463,5.7,1.6,0,35.0220171747972,24.5154120223581,28.0176137398378,"Euro",2,3,4,3,4,3,3,5,4,2,4,5,2,3,3
"3223","neunerkoepfle-tannheim","Europe","Austria",1820,2.5,5,1,43.1938211822499,26.2665128810979,35.0220171747972,"Euro",2,3,3,3,4,3,3,3,3,3,4,3,2,1,5
"3226","neuss-jever-fun-ski-hall","Europe","Germany",110,0.3,0.1,0,45.5286223272364,33.854616602304,0,"Euro",1,2,3,5,5,2,3,5,5,3,4,4,1,3,1
"3270","nordkette-innsbruck","Europe","Austria",2256,0.5,13,0.4,40.2753197510168,24.1651918506101,36.3061578045398,"Euro",2,3,2,3,4,4,3,5,4,3,3,2,5,5,1
"3289","nosal-bystre","Europe","Poland",1186,1,0.2,0,20.0394429676117,0,0,"Polish zloty",1,2,1,3,4,3,2,3,2,1,3,4,2,1,1
"3296","novako-bozi-dar","Europe","Czech Republic",1090,0.5,0,0,13.0279111766001,8.08628969582074,0,"Czech koruna",1,1,1,3,3,3,3,4,2,2,4,4,1,1,3
"3326","oberaudorf-hocheck","Europe","Germany",900,3,4,1,28.0176137398378,16.3436080149054,24.5154120223581,"Euro",2,3,3,3,4,4,5,5,3,2,4,3,2,3,2
"3333","obergurgl-hochgurgl","Europe","Austria",3082,35,55,20,60.7048297696485,39.6916194647702,46.6960228997296,"Euro",4,5,5,5,4,3,4,3,5,5,4,5,5,4,3
"3339","oberjoch-bad-hindelang-iseler","Europe","Germany",1559,6,24,2,44.3612217547431,22.7643111636182,33.854616602304,"Euro",3,3,5,3,4,3,4,3,4,4,5,4,3,3,4
"3344","obersaxenmundaunval-lumnezia","Europe","Switzerland",2310,60,40,20,58.5539200839946,25.2387586568942,45.4297655824096,"Swiss Franc",4,5,3,3,4,4,4,4,4,3,4,4,5,4,3
"3346","obertauern","Europe","Austria",2313,61,35,4,53.1167260484425,26.2665128810979,39.6916194647702,"Euro",4,4,5,5,5,3,3,3,4,5,5,4,4,3,4
"3359","ochsenkopf","Europe","Germany",1024,2.4,2.3,0,23.9317117361114,19.8458097323851,21.596910591125,"Euro",2,3,3,3,4,3,4,4,3,3,4,5,1,2,5
"3363","oedberg-gmund-ostin","Europe","Germany",970,1,1,0,23.3480114498648,17.5110085873986,0,"Euro",1,2,1,3,3,3,3,3,2,1,3,3,1,2,2
"3372","ofterschwanggunzesried-ofterschwanger-horn","Europe","Germany",1405,3.7,9.8,2.5,44.3612217547431,20.4295100186317,34.4383168885506,"Euro",2,4,5,4,4,4,3,5,4,3,4,3,3,2,3
"3379","ohlstadt","Europe","Germany",730,0.3,0,0,0,0,0,"-",1,1,1,1,2,4,4,4,1,1,3,3,1,1,2
"3432","oslo-vinterpark-tryvann","Europe","Norway",531,5,2.6,2,52.6863934325798,41.6590087606445,0,"Norwegian krone",2,3,4,4,4,4,4,4,3,1,3,4,2,5,5
"3440","ostalb-aalen","Europe","Germany",680,1.2,0.8,0,23.3480114498648,14.0088068699189,18.6784091598919,"Euro",1,2,1,1,3,3,3,4,2,1,3,3,1,2,3
"3471","paganella-andalo","Europe","Italy",2125,9.6,22.5,1.2,47.8634234722229,24.5154120223581,33.854616602304,"Euro",3,4,5,5,5,3,3,4,4,4,5,4,3,4,2
"3476","palarinsal-la-massana-vallnord","Europe","Andorra",2560,31,24,8,44.3612217547431,36.1894177472905,0,"Euro",4,4,4,4,4,4,4,3,3,3,5,4,3,4,1
"3491","panorama","North America","Canada",2365,20,55,25,75.3167869706523,34.9956787944445,65.4267038330919,"Canadian Dollar",4,5,3,4,4,3,4,4,4,5,4,4,5,4,3
"3512","parsenn-davos-klosters","Europe","Switzerland",2844,17.3,60.5,17.7,70.6685242393038,28.2674096957215,49.4679669675127,"Swiss Franc",4,5,4,5,5,4,3,2,4,4,2,4,5,4,5
"3520","passo-dello-stelvio-stelvio-pass","Europe","Italy",3450,8,1,0,51.3656251897026,44.3612217547431,0,"Euro",2,3,2,5,4,3,5,1,3,3,2,3,2,3,3
"3529","passo-san-pellegrinofalcade","Europe","Italy",2513,20.8,38.7,8.1,57.2026280521688,0,38.5242188922769,"Euro",4,4,4,5,5,4,5,3,4,4,5,4,4,4,4
"3544","pejo","Europe","Italy",3000,5,12.8,2.2,44.3612217547431,22.1806108773716,31.5198154573175,"Euro",3,4,3,5,5,5,4,3,4,3,4,3,3,3,2
"3550","pendle-ski-club","Europe","United Kingdom",267,0.1,0,0,0,0,0,"-",1,1,1,1,1,3,2,4,2,1,2,3,1,1,1
"3575","pfelders-moos-in-passeier","Europe","Italy",2502,5,9,4,40.2753197510168,30.3524148848243,30.3524148848243,"Euro",2,3,5,5,5,4,4,3,3,4,4,3,3,2,3
"3577","pfulb-schopfloch-lenningen","Europe","Germany",770,0.5,0.4,0.1,14.0088068699189,11.6740057249324,0,"Euro",1,2,1,1,3,3,3,4,3,1,3,3,1,1,2
"3578","philippsreut","Europe","Germany",910,1,0,0,16.3436080149054,11.6740057249324,0,"Euro",1,1,1,1,4,3,3,3,1,1,3,3,1,1,2
"3630","pitztal-glacier-pitztaler-gletscher","Europe","Austria",3440,3.8,16.2,0.7,58.370028624662,33.854616602304,58.370028624662,"Euro",3,4,4,5,5,4,4,3,3,2,3,4,3,5,4
"3631","pizol-bad-ragazwangs","Europe","Switzerland",2250,14,21,8,55.5252690451673,27.7626345225836,38.3629131584792,"Swiss Franc",3,4,4,4,4,4,5,4,4,3,4,4,4,4,2
"3688","ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale","Europe","Italy",3000,24,61,15,50.1982246172094,25.6828125948513,37.3568183197837,"Euro",4,5,4,5,5,4,4,3,4,4,5,4,5,4,3
"3690","pontresina","Europe","Switzerland",2332,1,0,0,32.3056110808246,20.1910069255154,27.2578593494458,"Swiss Franc",1,1,1,2,5,4,3,1,2,3,4,3,1,1,5
"3704","postwiesen-skidorf-neuastenberg","Europe","Germany",730,3,3.4,1.6,31.5198154573175,20.4295100186317,25.0991123086047,"Euro",2,3,2,3,4,3,3,3,3,3,3,4,2,4,3
"3752","proeller-skidreieck-st-englmar","Europe","Germany",1030,2,3.5,0.5,25.6828125948513,18.6784091598919,0,"Euro",2,3,2,3,4,3,4,4,3,2,3,3,2,2,4
"3774","pyhae","Europe","Finland",500,5,4.4,2,51.3656251897026,32.6872160298107,43.1938211822499,"Euro",2,3,4,5,5,4,3,4,4,4,3,3,3,4,5
"3792","rabenkopf-oberau","Europe","Germany",760,0.5,0.5,0,14.0088068699189,10.5066051524392,0,"Euro",1,2,1,2,4,3,2,5,2,1,3,3,1,2,2
"3796","racines-giovo-ratschings-jaufenmalga-calice-kalcheralm","Europe","Italy",2100,4,21,0,53.7004263346891,37.3568183197837,0,"Euro",3,4,5,5,5,4,4,4,4,3,5,3,3,4,3
"3800","radstadtaltenmarkt","Europe","Austria",1571,9.2,7.2,0.6,60.1211294834019,30.3524148848243,44.9449220409898,"Euro",2,4,5,4,5,4,5,5,5,3,5,4,2,3,5
"3819","ramsau-am-dachstein-rittisberg","Europe","Austria",1636,14,10,1,42.6101208960033,21.596910591125,32.1035157435641,"Euro",2,2,2,3,4,4,5,4,4,4,5,5,2,2,5
"3824","rangger-koepfl-oberperfuss","Europe","Austria",2000,7,4,2,34.4383168885506,17.5110085873986,27.4339134535912,"Euro",2,3,3,4,4,3,5,5,3,2,3,3,2,3,2
